,campo,text,x,y,w,h
33,B Daba marcha atrás,X,733.0,853.0,16.0,17.0
34,A Invadía la parte reservada a la circulación en sentido inverso,,449.0,886.0,17.0,16.0
35,B Invadía la parte reservada a la circulación en sentido inverso,X,733.0,886.0,16.0,17.0
36,Vehiculo A — ¿Los daños propios del vehículo están asegurados? — No,X,160.0,897.0,10.0,10.0
37,Vehiculo A — ¿Los daños propios del vehículo están asegurados? — Si,X,257.0,897.0,11.0,10.0
38,Vehiculo B — ¿Los daños propios del vehículo están asegurados? — No,X,880.0,897.0,11.0,11.0
39,Vehiculo B — ¿Los daños propios del vehículo están asegurados? — Si,,978.0,897.0,10.0,10.0
40,A Venía de la derecha (en un cruce),,449.0,935.0,17.0,16.0
41,B Venía de la derecha (en un cruce),X,733.0,935.0,16.0,16.0
42,A No respeto la señal de preferencia o sematoro en rojo,,449.0,982.0,17.0,16.0
43,B No respeto la señal de preferencia o sematoro en rojo,X,733.0,982.0,16.0,16.0
